datapath_id,version,header_length,tos,total_length,flags,offset,ttl,proto,csum,src_ip,dst_ip,src_port,dst_port,tcp_flag,type_icmp,code_icmp,csum_icmp,port_no,rx_bytes_ave,rx_error_ave,rx_dropped_ave,tx_bytes_ave,tx_error_ave,tx_dropped_ave,label
1,4,5,0,28,0,0,250,1,4642,58.117.106.69,10.0.0.4,0,0,0,8,240,62965,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,61521,113.76.85.62,10.0.0.4,0,0,0,8,5,63392,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,3406,223.170.201.227,10.0.0.4,0,0,0,8,101,63366,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,6568,194.32.219.19,10.0.0.4,0,0,0,8,236,63097,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,41217,184.212.93.6,10.0.0.4,0,0,0,8,251,63030,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,55577,242.3.235.190,10.0.0.4,0,0,0,8,245,63216,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,44860,64.239.198.176,10.0.0.4,0,0,0,8,187,63172,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,36319,235.155.61.97,10.0.0.4,0,0,0,8,59,63028,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,23016,126.252.221.247,10.0.0.4,0,0,0,8,87,62940,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,30140,110.207.210.80,10.0.0.4,0,0,0,8,194,63271,1,42,0,0,117,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,11893,135.27.1.76,10.0.0.4,0,0,0,8,178,63245,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,61273,223.56.232.73,10.0.0.4,0,0,0,8,211,62892,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,58908,81.218.126.229,10.0.0.4,0,0,0,8,229,63168,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,35427,199.96.101.24,10.0.0.4,0,0,0,8,144,63225,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,24482,80.223.6.91,10.0.0.4,0,0,0,8,170,63171,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,38587,252.233.35.55,10.0.0.4,0,0,0,8,2,63185,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,56656,226.186.246.208,10.0.0.4,0,0,0,8,176,62811,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,12296,14.23.120.189,10.0.0.4,0,0,0,8,92,63097,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,56729,55.93.161.229,10.0.0.4,0,0,0,8,192,63259,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,56129,138.181.80.229,10.0.0.4,0,0,0,8,53,63048,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,14582,56.224.69.6,10.0.0.4,0,0,0,8,49,63100,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,39602,245.239.38.58,10.0.0.4,0,0,0,8,130,63173,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,50310,143.220.98.121,10.0.0.4,0,0,0,8,148,62945,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,8530,116.129.33.9,10.0.0.4,0,0,0,8,99,63186,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,49104,88.213.158.54,10.0.0.4,0,0,0,8,190,62985,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,26309,211.72.124.206,10.0.0.4,0,0,0,8,151,62896,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,62450,236.234.213.254,10.0.0.4,0,0,0,8,105,63180,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,8357,139.18.11.37,10.0.0.4,0,0,0,8,102,63183,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,1426,24.212.152.118,10.0.0.4,0,0,0,8,2,63475,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,47298,13.244.240.37,10.0.0.4,0,0,0,8,152,63069,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,27140,176.95.156.120,10.0.0.4,0,0,0,8,75,63280,1,42,0,0,116,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,53973,34.198.193.64,10.0.0.4,0,0,0,8,187,63300,1,42,0,0,118,0,0,DDOS_ICMP
1,4,5,0,28,0,0,250,1,16548,125.8.249.47,10.0.0.4,0,0,0,8,162,63297,1,42,0,0,118,0,0,DDOS_ICMP
